id;nome;categoria;dificuldade;tipoCombate;lane;descricao;imagem_url
1;Aatrox;Warrior;Médio;Físico;Top/;Once honored defenders of Shurima against the Void, Aatrox and his brethren would eventually become an even greater threat to Runeterra, and were defeated only by cunning mortal sorcery. But after centuries of imprisonment, Aatrox was the first to find...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Aatrox.png
2;Ahri;Mage;Médio;Mágico;/Mid/;Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ahri.png
3;Akali;Assasin;Médio;Físico/Mágico;Top/Mid/;Abandoning the Kinkou Order and her title of the Fist of Shadow, Akali now strikes alone, ready to be the deadly weapon her people need. Though she holds onto all she learned from her master Shen, she has pledged to defend Ionia from its enemies, one...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Akali.png
4;Alistar;Tank-Support;Fácil;Mágico;/Suporte;Always a mighty warrior with a fearsome reputation, Alistar seeks revenge for the death of his clan at the hands of the Noxian empire. Though he was enslaved and forced into the life of a gladiator, his unbreakable will was what kept him from truly...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Alistar.png
5;Amumu;Tank;Fácil;Mágico;/Jungle/;Legend claims that Amumu is a lonely and melancholy soul from ancient Shurima, roaming the world in search of a friend. Doomed by an ancient curse to remain alone forever, his touch is death, his affection ruin. Those who claim to have seen him describe...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Amumu.png
6;Anivia;Mage;Dificil;Mágico;/Mid/;Anivia is a benevolent winged spirit who endures endless cycles of life, death, and rebirth to protect the Freljord. A demigod born of unforgiving ice and bitter winds, she wields those elemental powers to thwart any who dare disturb her homeland...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Anivia.png
7;Annie;Mage;Fácil;Mágico;/Mid/;Dangerous, yet disarmingly precocious, Annie is a child mage with immense pyromantic power. Even in the shadows of the mountains north of Noxus, she is a magical outlier. Her natural affinity for fire manifested early in life through unpredictable...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Annie.png
8;Ashe;Marksman;Fácil;Físico;/Atirador/Suporte;Iceborn warmother of the Avarosan tribe, Ashe commands the most populous horde in the north. Stoic, intelligent, and idealistic, yet uncomfortable with her role as leader, she taps into the ancestral magics of her lineage to wield a bow of True Ice...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Ashe.png
9;Aurelion Sol;Mage;Dificil;Mágico;/Mid/;Aurelion Sol once graced the vast emptiness of the cosmos with celestial wonders of his own devising. Now, he is forced to wield his awesome power at the behest of a space-faring empire that tricked him into servitude. Desiring a return to his...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/AurelionSol.png
10;Azir;Mage;Dificil;Mágico;/Mid/;Azir was a mortal emperor of Shurima in a far distant age, a proud man who stood at the cusp of immortality. His hubris saw him betrayed and murdered at the moment of his greatest triumph, but now, millennia later, he has been reborn as an Ascended...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Azir.png
11;Bard;Support;Dificil;Mágico;/Suporte;A traveler from beyond the stars, Bard is an agent of serendipity who fights to maintain a balance where life can endure the indifference of chaos. Many Runeterrans sing songs that ponder his extraordinary nature, yet they all agree that the cosmic...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Bard.png
12;Blitzcrank;Support;Fácil;Mágico;/Suporte;Blitzcrank is an enormous, near-indestructible automaton from Zaun, originally built to dispose of hazardous waste. However, he found this primary purpose too restricting, and modified his own form to better serve the fragile people of the Sump...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Blitzcrank.png
13;Brand;Mage;Médio;Mágico;/Jungle/Suporte;Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himselfâ€”and, in an instant, the...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Brand.png
14;Braum;Tank-Support;Médio;Mágico;/Suporte;Blessed with massive biceps and an even bigger heart, Braum is a beloved hero of the Freljord. Every mead hall north of Frostheld toasts his legendary strength, said to have felled a forest of oaks in a single night, and punched an entire mountain into...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Braum.png
15;Caitlyn;Marksman;Fácil;Físico;/Atirador/;Renowned as its finest peacekeeper, Caitlyn is also Piltover's best shot at ridding the city of its elusive criminal elements. She is often paired with Vi, acting as a cool counterpoint to her partner's more impetuous nature. Even though she carries a...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Caitlyn.png
16;Camille;Warrior;Dificil;Físico;Top/;Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferrosâ€”an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Camille.png
17;Cassiopeia;Mage;Dificil;Mágico;/Mid/;Cassiopeia is a deadly creature bent on manipulating others to her sinister will. Youngest and most beautiful daughter of the noble Du Couteau family of Noxus, she ventured deep into the crypts beneath Shurima in search of ancient power. There, she was...;http://ddragon.leagueoflegends.com/cdn/10.23.1/img/champion/Cassiopeia.png
18;Cho Gath;Mage-Warrior;Fácil;Mágico;;;
